i	j	k	Dose(Gy)	gamma	gamma_f	e-	e-_f	e+	e+_f	neutron	neutron_f	proton_1	proton_1_f	proton	proton_f	deuteron	deuteron_f	triton	triton_f	He3	He3_f	alpha	alpha_f	Li6	Li6_f	Li7	Li7_f	Be7	Be7_f	Be8	Be8_f	Be9	Be9_f	Be10	Be10_f	B10	B10_f	B11	B11_f	C12	C12_f	C13	C13_f	C14	C14_f	N13	N13_f	N14	N14_f	N15	N15_f	N16	N16_f	O16	O16_f	O17	O17_f	O18	O18_f	Na23	Na23_f	Si28	Si28_f	P31	P31_f	S32	S32_f	S34	S34_f	Cl35	Cl35_f	Cl36	Cl36_f	Cl37	Cl37_f	K39	K39_f	K41	K41_f	Fe57	Fe57_f
31	0	0	6.08259e-07	2.19116e-15	1949	2.82237e-09	7872	7.87835e-12	6	1.3842e-13	631	5.86941e-07	95759	1.50849e-08	943	0	0	0	0	0	0	2.82056e-09	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.11817e-10	88	0	0	0	0	0	0	4.60121e-12	3	0	0	0	0	3.64132e-10	197	0	0	0	0	0	0	0	0	8.41058e-13	1	0	0	0	0	0	0	0	0	0	0	3.31239e-13	1	0	0	0	0
32	0	0	6.26836e-07	2.26957e-15	1943	2.17525e-09	6017	3.2205e-12	4	1.18581e-13	623	6.06957e-07	95564	1.46626e-08	915	0	0	0	0	0	0	2.52105e-09	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.58707e-10	79	3.43838e-12	1	0	0	0	0	8.11651e-12	8	0	0	0	0	3.45017e-10	202	0	0	9.67498e-13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	0	0	6.48696e-07	1.52007e-15	1955	1.55034e-09	4310	8.87572e-12	5	4.31367e-14	618	6.29827e-07	95361	1.42607e-08	897	0	0	0	0	0	0	2.383e-09	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.68037e-10	86	1.67239e-12	1	0	0	0	0	1.24785e-11	8	7.2265e-12	1	0	0	3.71146e-10	198	0	0	4.11055e-12	1	0	0	0	0	0	0	7.29776e-13	2	0	0	0	0	0	0	0	0	4.51222e-13	1	0	0	0	0
34	0	0	6.72675e-07	2.48383e-15	1947	1.1166e-09	3014	1.93044e-11	7	1.93439e-13	613	6.5455e-07	95145	1.39892e-08	858	0	0	0	0	0	0	2.41975e-09	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.99912e-10	76	0	0	0	0	0	0	2.1919e-11	9	0	0	0	0	3.56651e-10	215	0	0	0	0	3.61374e-13	1	0	0	8.40519e-13	1	7.31422e-14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	0	0	7.02483e-07	2.01571e-15	1941	7.05059e-10	1802	8.842e-12	6	6.10623e-14	613	6.84337e-07	94913	1.3571e-08	838	0	0	0	0	0	0	3.22355e-09	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.76042e-10	92	0	0	0	0	0	0	2.0247e-11	5	7.00249e-12	1	0	0	4.33912e-10	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	0	0	7.36774e-07	2.25768e-15	1933	4.13784e-10	1013	6.69112e-12	5	7.79924e-14	606	7.19356e-07	94669	1.33124e-08	832	1.172e-11	1	0	0	0	0	2.79249e-09	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.622e-10	124	3.16088e-16	1	0	0	3.24105e-12	1	1.37184e-11	11	0	0	0	0	4.01909e-10	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	0	0	7.80106e-07	1.8823e-15	1932	2.04888e-10	427	5.5791e-12	4	6.74598e-14	598	7.62234e-07	94401	1.41382e-08	825	0	0	0	0	0	0	2.72354e-09	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.09959e-10	112	1.76497e-12	1	0	0	0	0	1.55644e-11	6	0	0	1.35476e-12	1	4.68236e-10	248	0	0	2.0441e-12	1	0	0	0	0	2.09616e-16	1	0	0	0	0	0	0	0	0	0	0	0	0	1.58549e-13	1	0	0
38	0	0	8.3513e-07	1.48354e-15	1916	1.59202e-10	212	1.07893e-12	1	6.00802e-14	590	8.17575e-07	94093	1.40603e-08	807	0	0	0	0	0	0	2.38127e-09	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.04528e-10	125	1.23571e-12	1	0	0	0	0	3.26129e-11	13	0	0	0	0	5.12206e-10	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1272e-13	1	0	0	0	0	2.74079e-12	1	0	0	0	0
39	0	0	9.13965e-07	2.48009e-15	1912	1.56295e-10	192	1.95543e-12	2	4.17533e-14	586	8.963e-07	93698	1.40537e-08	790	6.68788e-12	1	0	0	0	0	2.37142e-09	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.91541e-10	110	1.81798e-11	4	0	0	0	0	1.56828e-11	14	0	0	0	0	6.49013e-10	284	0	0	0	0	4.08643e-14	1	0	0	6.09335e-13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	0	0	9.36374e-07	7.39308e-15	1883	1.11086e-10	237	2.90875e-12	2	9.10282e-14	584	9.21136e-07	93022	1.00016e-08	571	5.46265e-11	1	0	0	0	0	2.96793e-09	146	0	0	9.4076e-11	55	8.82972e-10	27	3.16242e-13	1	0	0	0	0	5.50939e-10	240	0	0	1.86711e-10	52	2.35996e-12	1	0	0	0	0	3.32163e-12	2	0	0	0	0	3.74982e-10	144	0	0	3.66678e-12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
