i,j,k,Dose(Gy),e+,e+_f,gamma,gamma_f,e-,e-_f,neutron,neutron_f,proton,proton_f,proton_1,proton_1_f,deuteron,deuteron_f,He3,He3_f,alpha,alpha_f,Li7,Li7_f,Be8,Be8_f,Be9,Be9_f,Be10,Be10_f,B10,B10_f,B11,B11_f,B12,B12_f,C12,C12_f,C13,C13_f,C14,C14_f,N13,N13_f,N14,N14_f,N15,N15_f,O16,O16_f,O18,O18_f,Na23,Na23_f,P31,P31_f,S32,S32_f,Cl35,Cl35_f,Cl36,Cl36_f,K39,K39_f
45,0,0,3.27513e-08,1.80553e-12,2,5.42839e-16,270,1.51246e-09,3305,1.91486e-14,376,1.56208e-09,203,2.94197e-08,9552,0,0,0,0,1.89083e-10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91034e-11,7,0,0,0,0,0,0,9.19271e-12,1,0,0,3.66131e-11,17,0,0,0,0,0,0,1.20211e-12,1,0,0,0,0,0,0
46,0,0,3.32378e-08,2.73248e-12,2,1.83738e-15,285,1.5469e-09,3374,7.77553e-14,373,1.75991e-09,203,2.96565e-08,9544,8.98105e-16,1,0,0,2.44933e-10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25105e-12,3,0,0,0,0,0,0,4.44755e-12,1,0,0,1.70509e-11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,3.38096e-08,1.77447e-12,2,1.18792e-15,278,1.51601e-09,3355,8.39209e-14,378,1.97837e-09,220,2.98248e-08,9536,3.39378e-15,1,0,0,4.43599e-10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.18378e-12,5,1.76543e-11,2,0,0,0,0,0,0,0,0,1.91193e-11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,3.41025e-08,1.2419e-12,2,3.656e-16,267,1.47405e-09,3233,7.46406e-14,383,2.17579e-09,226,3.00097e-08,9522,0,0,0,0,4.07711e-10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2186e-12,6,2.21334e-13,1,0,0,0,0,5.26658e-13,1,0,0,2.99034e-11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,3.40966e-08,1.49191e-12,2,1.33772e-15,288,1.51071e-09,3358,6.82746e-14,388,1.99851e-09,222,3.02039e-08,9507,3.49752e-15,1,0,0,3.49807e-10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2817e-11,6,0,0,0,0,0,0,6.20798e-13,1,0,0,1.86963e-11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,3.40394e-08,1.12643e-12,2,7.23244e-16,276,1.43958e-09,3178,9.69883e-14,387,1.98978e-09,222,3.04719e-08,9493,0,0,0,0,9.78808e-11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31032e-11,6,0,0,0,0,0,0,1.08333e-12,1,0,0,1.48497e-11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,3.42889e-08,0,1,4.14059e-16,281,1.49332e-09,3299,9.83764e-14,388,1.83359e-09,216,3.07202e-08,9485,0,0,0,0,1.81932e-10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.30181e-11,5,0,0,0,0,0,0,0,0,0,0,2.67477e-11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,3.48084e-08,0,1,1.77225e-15,296,1.49009e-09,3341,6.78197e-14,389,2.23795e-09,222,3.08383e-08,9476,2.54219e-15,1,0,0,2.24402e-10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8372e-13,2,0,0,0,0,0,0,2.29656e-12,2,0,0,1.47738e-11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,3.46851e-08,0,1,4.45838e-16,290,1.43372e-09,3214,5.04763e-14,388,1.96108e-09,212,3.11137e-08,9466,0,0,0,0,1.07058e-10,6,0,0,0,0,3.26681e-12,1,0,0,0,0,0,0,0,0,1.85638e-11,7,0,0,0,0,0,0,0,0,0,0,4.76918e-11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,3.52421e-08,0,1,1.71371e-15,311,1.48088e-09,3297,1.23142e-13,390,1.98591e-09,212,3.13936e-08,9460,3.25891e-15,2,0,0,3.52331e-10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.05167e-12,4,0,0,0,0,0,0,0,0,0,0,2.11235e-11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,3.53121e-08,0,1,4.30578e-16,298,1.40389e-09,3170,3.4983e-14,394,1.98939e-09,214,3.16285e-08,9450,0,0,1.02623e-11,1,2.44183e-10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74571e-11,7,0,0,0,0,0,0,0,0,0,0,1.83712e-11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,3.56096e-08,0,1,1.70307e-15,310,1.39283e-09,3157,6.80258e-14,392,2.07363e-09,213,3.19431e-08,9434,4.60655e-15,1,0,0,1.6637e-10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.18519e-12,4,0,0,0,0,0,0,0,0,0,0,2.44091e-11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,3.57997e-08,0,1,6.15366e-16,303,1.41751e-09,3195,1.21029e-13,394,1.85971e-09,203,3.22655e-08,9422,1.2474e-15,1,0,0,2.12837e-10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.40338e-12,5,0,0,0,0,0,0,5.97362e-13,1,0,0,3.32236e-11,21,0,0,0,0,0,0,7.71134e-13,1,0,0,0,0,0,0
58,0,0,3.61169e-08,0,1,1.65514e-15,307,1.41583e-09,3234,3.22449e-14,394,1.8444e-09,200,3.26641e-08,9412,4.71324e-15,1,0,0,1.53199e-10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79509e-12,4,0,0,0,0,0,0,1.43027e-11,1,0,0,2.12106e-11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,3.64154e-08,0,1,7.92687e-16,295,1.39837e-09,3182,2.62173e-14,391,1.79448e-09,201,3.30131e-08,9403,0,0,0,0,1.69196e-10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96446e-11,8,0,0,0,0,0,0,7.55986e-14,1,0,0,2.05092e-11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,3.67803e-08,0,1,3.96648e-16,299,1.36122e-09,3103,1.00017e-13,398,1.93029e-09,209,3.32514e-08,9390,0,0,0,0,2.09297e-10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45176e-11,4,0,0,0,0,0,0,0,0,0,0,1.3475e-11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,3.7249e-08,0,1,5.26218e-16,306,1.37837e-09,3151,9.91361e-14,402,2.09855e-09,210,3.34148e-08,9377,4.79052e-15,1,0,0,3.06745e-10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84996e-11,6,0,0,0,0,0,0,0,0,0,0,3.19202e-11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,3.7536e-08,0,1,8.46098e-16,303,1.38064e-09,3186,7.47382e-14,408,2.08571e-09,197,3.38692e-08,9365,0,0,0,0,1.61063e-10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59155e-11,8,0,0,0,0,0,0,9.10788e-13,1,0,0,2.25079e-11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,3.79375e-08,0,1,1.5223e-15,321,1.36412e-09,3172,6.88107e-14,404,1.95036e-09,197,3.42611e-08,9358,5.43359e-15,2,0,0,3.26066e-10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79935e-11,4,0,0,0,0,0,0,3.55875e-13,1,0,0,1.71846e-11,14,0,0,0,0,1.83315e-13,1,0,0,0,0,0,0,0,0
64,0,0,3.8454e-08,2.25291e-12,2,8.23127e-16,318,1.32926e-09,3086,1.76679e-14,410,2.02451e-09,199,3.46817e-08,9347,1.97975e-15,1,0,0,3.61408e-10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33763e-11,10,0,0,0,0,0,0,1.85909e-12,1,0,0,1.95988e-11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,3.85785e-08,8.4349e-13,2,7.01409e-16,312,1.27532e-09,2943,1.61799e-13,411,1.8859e-09,195,3.51371e-08,9335,0,0,0,0,2.48439e-10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30994e-12,3,0,0,0,0,0,0,0,0,0,0,2.84615e-11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,3.89476e-08,1.67973e-12,3,8.836e-16,316,1.23854e-09,2926,1.0298e-13,415,1.81019e-09,197,3.55216e-08,9321,0,0,0,0,3.27617e-10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47542e-11,8,0,0,0,0,0,0,0,0,0,0,2.3122e-11,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
